"latin","GridReference","StartDate","Year","GRIDREF_1KM_PREC"
"bombus pascuorum","NT273733",2012-10-08,2012,"NT2773"
"bombus pascuorum","NT273733",2012-10-08,2012,"NT2773"
"bombus pascuorum","NT273733",2012-09-27,2012,"NT2773"
"bombus lucorum sensu lato","NT273733",2012-07-19,2012,"NT2773"
"bombus lucorum sensu lato","NT273733",2012-07-19,2012,"NT2773"
"bombus pratorum","NT273733",2012-07-19,2012,"NT2773"
"bombus terrestris","NT273733",2012-07-19,2012,"NT2773"
"bombus lucorum sensu lato","NT265731",2012-07-19,2012,"NT2673"
"bombus lucorum sensu lato","NT265731",2012-07-19,2012,"NT2673"
"bombus lucorum sensu lato","NT273733",2012-05-21,2012,"NT2773"
"bombus lucorum sensu lato","NT265731",2012-05-21,2012,"NT2673"
"bombus lucorum sensu lato","NT265731",2012-05-21,2012,"NT2673"
"bombus pascuorum","NT265731",2012-05-21,2012,"NT2673"
"bombus terrestris","NT265731",2012-05-21,2012,"NT2673"
"bombus terrestris","NT273733",2012-04-09,2012,"NT2773"
"bombus lapidarius","NT265731",2012-04-09,2012,"NT2673"
"bombus lucorum sensu lato","NT265731",2012-04-09,2012,"NT2673"
"bombus terrestris","NT265731",2012-04-09,2012,"NT2673"
"bombus lucorum sensu lato","NT265731",2012-04-09,2012,"NT2673"
"bombus lapidarius","NT265731",2012-04-09,2012,"NT2673"
"bombus terrestris","NT265731",2012-04-09,2012,"NT2673"
"bombus terrestris","NT265731",2012-03-26,2012,"NT2673"
"bombus terrestris","NT265731",2012-03-26,2012,"NT2673"
"bombus campestris","SK218689",2010-09-01,2010,"SK2168"
"bombus terrestris","SK218689",2010-07-06,2010,"SK2168"
"bombus lapidarius","SK218689",2010-07-06,2010,"SK2168"
"bombus hortorum","SK218689",2010-07-06,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-07-06,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-07-06,2010,"SK2168"
"bombus lapidarius","SK218689",2010-07-06,2010,"SK2168"
"bombus hypnorum","SK218689",2010-07-06,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-07-06,2010,"SK2168"
"bombus terrestris","SK218689",2010-07-06,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-07-06,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-07-06,2010,"SK2168"
"bombus hypnorum","SK218689",2010-07-06,2010,"SK2168"
"bombus terrestris","SK218689",2010-07-06,2010,"SK2168"
"bombus hypnorum","SK218689",2010-09-01,2010,"SK2168"
"bombus terrestris","SK218689",2010-09-01,2010,"SK2168"
"bombus terrestris","SK218689",2010-09-01,2010,"SK2168"
"bombus terrestris","SK218689",2010-09-01,2010,"SK2168"
"bombus lapidarius","SK218689",2010-09-30,2010,"SK2168"
"bombus pascuorum","SK218689",2010-09-30,2010,"SK2168"
"bombus lapidarius","SK218689",2010-09-01,2010,"SK2168"
"bombus lapidarius","SK218689",2010-09-01,2010,"SK2168"
"bombus pascuorum","SK218689",2010-09-01,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-09-01,2010,"SK2168"
"bombus campestris","SK218689",2010-09-01,2010,"SK2168"
"bombus campestris","SK218689",2010-09-01,2010,"SK2168"
"bombus terrestris","SK218689",2010-09-01,2010,"SK2168"
"bombus lapidarius","SK218689",2010-09-01,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-09-01,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-09-30,2010,"SK2168"
"bombus campestris","SK218689",2010-09-30,2010,"SK2168"
"bombus pascuorum","SK218689",2010-09-30,2010,"SK2168"
"bombus hypnorum","SK218689",2010-09-30,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-09-01,2010,"SK2168"
"bombus hypnorum","SK218689",2010-09-01,2010,"SK2168"
"bombus terrestris","NU073022",2011-05-12,2011,"NU0702"
"bombus pascuorum","NU073022",2011-05-12,2011,"NU0702"
"bombus terrestris","NU073022",2011-05-12,2011,"NU0702"
"bombus terrestris","NU073022",2011-05-12,2011,"NU0702"
"bombus pascuorum","NU073022",2011-05-12,2011,"NU0702"
"bombus terrestris","NU073022",2011-05-12,2011,"NU0702"
"bombus terrestris","NU073022",2011-05-12,2011,"NU0702"
"bombus terrestris","NU073022",2011-05-12,2011,"NU0702"
"bombus lapidarius","NU073022",2011-05-12,2011,"NU0702"
"bombus pascuorum","NU073022",2011-05-12,2011,"NU0702"
"bombus terrestris","NU073022",2011-07-24,2011,"NU0702"
"bombus terrestris","NU073022",2011-07-24,2011,"NU0702"
"bombus pascuorum","NU073022",2011-07-24,2011,"NU0702"
"bombus pascuorum","NU073022",2011-07-24,2011,"NU0702"
"bombus terrestris","NU073022",2011-07-24,2011,"NU0702"
"bombus terrestris","NU073022",2011-07-24,2011,"NU0702"
"bombus terrestris","NU073022",2011-07-24,2011,"NU0702"
"bombus pascuorum","NU073022",2011-07-24,2011,"NU0702"
"bombus terrestris","NU073022",2011-07-24,2011,"NU0702"
"bombus terrestris","NU073022",2011-07-24,2011,"NU0702"
"bombus terrestris","NU073022",2011-07-24,2011,"NU0702"
"bombus terrestris","NU073022",2011-07-24,2011,"NU0702"
"bombus lapidarius","NU073022",2011-07-24,2011,"NU0702"
"bombus pascuorum","NU073022",2011-07-24,2011,"NU0702"
"bombus pascuorum","NU073022",2011-07-24,2011,"NU0702"
"bombus campestris","NU073022",2011-07-24,2011,"NU0702"
"bombus terrestris","NU073022",2011-06-26,2011,"NU0702"
"bombus sylvestris","NU073022",2011-06-26,2011,"NU0702"
"bombus sylvestris","NU073022",2011-06-26,2011,"NU0702"
"bombus terrestris","NU073022",2011-06-26,2011,"NU0702"
"bombus pascuorum","NU073022",2011-06-26,2011,"NU0702"
"bombus terrestris","NU073022",2011-06-26,2011,"NU0702"
"bombus pratorum","NU073022",2011-06-26,2011,"NU0702"
"bombus pascuorum","NU073022",2011-06-26,2011,"NU0702"
"bombus pascuorum","NU073022",2011-06-26,2011,"NU0702"
"bombus terrestris","NU073022",2011-06-26,2011,"NU0702"
"bombus terrestris","NU073022",2011-06-26,2011,"NU0702"
"bombus pratorum","NU073022",2011-06-26,2011,"NU0702"
"bombus pascuorum","NU073022",2011-06-26,2011,"NU0702"
"bombus pascuorum","NU073022",2011-06-26,2011,"NU0702"
"bombus pascuorum","NU073022",2011-04-27,2011,"NU0702"
"bombus pascuorum","NU073022",2011-04-27,2011,"NU0702"
"bombus pascuorum","NU073022",2011-04-27,2011,"NU0702"
"bombus terrestris","NU073022",2011-04-27,2011,"NU0702"
"bombus pascuorum","NU073022",2011-04-27,2011,"NU0702"
"bombus terrestris","NU073022",2011-04-27,2011,"NU0702"
"bombus pascuorum","NU073022",2011-04-27,2011,"NU0702"
"bombus sylvestris","NU073022",2011-04-27,2011,"NU0702"
"bombus sylvestris","NU073022",2011-04-27,2011,"NU0702"
"bombus terrestris","NU073022",2011-04-27,2011,"NU0702"
"bombus terrestris","NU073022",2011-04-27,2011,"NU0702"
"bombus pascuorum","NU073022",2011-04-27,2011,"NU0702"
"bombus terrestris","NU073022",2011-03-24,2011,"NU0702"
"bombus terrestris","NU073022",2011-03-24,2011,"NU0702"
"bombus terrestris","NU073022",2010-07-31,2010,"NU0702"
"bombus terrestris","NU073022",2010-07-31,2010,"NU0702"
"bombus pascuorum","NU073022",2010-07-31,2010,"NU0702"
"bombus sylvestris","NU073022",2010-07-31,2010,"NU0702"
"bombus sylvestris","NU073022",2010-07-31,2010,"NU0702"
"bombus terrestris","NU073022",2010-08-30,2010,"NU0702"
"bombus campestris","NU073022",2010-08-30,2010,"NU0702"
"bombus hypnorum","NU073022",2010-08-30,2010,"NU0702"
"bombus pascuorum","NU073022",2010-09-18,2010,"NU0702"
"bombus terrestris","NU073022",2010-06-25,2010,"NU0702"
"bombus terrestris","NU073022",2010-06-25,2010,"NU0702"
"bombus terrestris","NU073022",2010-06-25,2010,"NU0702"
"bombus pratorum","NU073022",2010-06-25,2010,"NU0702"
"bombus terrestris","NU073022",2010-07-31,2010,"NU0702"
"bombus pascuorum","NU073022",2010-07-31,2010,"NU0702"
"bombus sylvestris","NU073022",2010-07-31,2010,"NU0702"
"bombus terrestris","NU073022",2010-08-30,2010,"NU0702"
"bombus pascuorum","NU073022",2010-08-30,2010,"NU0702"
"bombus terrestris","NU073022",2010-07-31,2010,"NU0702"
"bombus terrestris","NU073022",2010-07-31,2010,"NU0702"
"bombus terrestris","NU073022",2010-08-30,2010,"NU0702"
"bombus hypnorum","NU073022",2010-08-30,2010,"NU0702"
"bombus terrestris","NU073022",2010-09-18,2010,"NU0702"
"bombus terrestris","NU073022",2010-09-18,2010,"NU0702"
"bombus pascuorum","NU073022",2010-09-18,2010,"NU0702"
"bombus pascuorum","NU073022",2010-09-18,2010,"NU0702"
"bombus lucorum sensu lato","NU073022",2010-09-18,2010,"NU0702"
"bombus sylvestris","NU073022",2010-09-18,2010,"NU0702"
"bombus terrestris","NU073022",2010-06-25,2010,"NU0702"
"bombus terrestris","NU073022",2010-06-25,2010,"NU0702"
"bombus hortorum","NU073022",2010-06-25,2010,"NU0702"
"bombus pascuorum","NU073022",2010-06-25,2010,"NU0702"
"bombus pascuorum","NU073022",2010-06-25,2010,"NU0702"
"bombus pascuorum","NU073022",2010-06-25,2010,"NU0702"
"bombus terrestris","NU073022",2010-07-31,2010,"NU0702"
"bombus terrestris","NU073022",2010-07-31,2010,"NU0702"
"bombus pascuorum","NU073022",2010-07-31,2010,"NU0702"
"bombus pascuorum","NU073022",2010-07-31,2010,"NU0702"
"bombus lucorum sensu lato","NU073022",2010-07-31,2010,"NU0702"
"bombus lucorum sensu lato","NU073022",2010-07-31,2010,"NU0702"
"bombus campestris","NU073022",2010-07-31,2010,"NU0702"
"bombus terrestris","NU073022",2010-08-30,2010,"NU0702"
"bombus pascuorum","NU073022",2010-08-30,2010,"NU0702"
"bombus pascuorum","NU073022",2010-08-30,2010,"NU0702"
"bombus sylvestris","NU073022",2010-08-30,2010,"NU0702"
"bombus sylvestris","NU073022",2010-08-30,2010,"NU0702"
"bombus hypnorum","NU073022",2010-08-30,2010,"NU0702"
"bombus hypnorum","NU073022",2010-08-30,2010,"NU0702"
"bombus terrestris","NU073022",2010-09-18,2010,"NU0702"
"bombus terrestris","NU073022",2010-09-18,2010,"NU0702"
"bombus pascuorum","NU073022",2010-09-18,2010,"NU0702"
"bombus pascuorum","NU073022",2010-09-18,2010,"NU0702"
"bombus hypnorum","NU073022",2010-09-18,2010,"NU0702"
"bombus campestris","NU073022",2010-09-18,2010,"NU0702"
"bombus terrestris","NU073022",2010-10-23,2010,"NU0702"
"bombus pascuorum","NU073022",2010-10-23,2010,"NU0702"
"bombus terrestris","SD391083",2010-03-23,2010,"SD3908"
"bombus terrestris","SD391083",2010-04-14,2010,"SD3908"
"bombus lapidarius","SD391083",2010-05-01,2010,"SD3908"
"bombus lapidarius","SD391083",2010-05-01,2010,"SD3908"
"bombus terrestris","SD391083",2010-04-14,2010,"SD3908"
"bombus lapidarius","SD391083",2010-04-14,2010,"SD3908"
"bombus terrestris","SD391083",2010-05-01,2010,"SD3908"
"bombus terrestris","SD391083",2010-05-01,2010,"SD3908"
"bombus vestalis","SD391083",2010-05-01,2010,"SD3908"
"bombus lapidarius","SD391083",2010-05-01,2010,"SD3908"
"bombus lucorum sensu lato","SD391083",2010-05-01,2010,"SD3908"
"bombus terrestris","SD391083",2010-04-14,2010,"SD3908"
"bombus vestalis","SD391083",2010-05-01,2010,"SD3908"
"bombus pascuorum","SD391083",2010-05-01,2010,"SD3908"
"bombus pascuorum","SD391083",2010-05-01,2010,"SD3908"
"bombus terrestris","SD391083",2010-04-14,2010,"SD3908"
"bombus terrestris","TQ090020",2010-06-22,2010,"TQ0902"
"bombus lapidarius","TQ090020",2010-06-22,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-06-22,2010,"TQ0902"
"bombus lucorum sensu lato","TQ090020",2010-06-22,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-07-26,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-07-26,2010,"TQ0902"
"bombus lapidarius","TQ090020",2010-07-26,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-08-30,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-08-30,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-06-22,2010,"TQ0902"
"bombus lapidarius","TQ090020",2010-06-22,2010,"TQ0902"
"bombus pratorum","TQ090020",2010-06-22,2010,"TQ0902"
"bombus hortorum","TQ090020",2010-06-22,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-06-22,2010,"TQ0902"
"bombus lucorum sensu lato","TQ090020",2010-06-22,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-07-26,2010,"TQ0902"
"bombus lapidarius","TQ090020",2010-07-26,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-07-26,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-08-30,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-06-22,2010,"TQ0902"
"bombus lapidarius","TQ090020",2010-06-22,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-06-22,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-07-26,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-07-26,2010,"TQ0902"
"bombus lapidarius","TQ090020",2010-07-26,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-07-26,2010,"TQ0902"
"bombus hypnorum","TQ090020",2010-07-26,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-07-26,2010,"TQ0902"
"bombus lapidarius","TQ090020",2010-07-26,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-07-26,2010,"TQ0902"
"bombus lucorum sensu lato","TQ090020",2010-07-26,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-08-30,2010,"TQ0902"
"bombus pratorum","TQ090020",2010-06-22,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-07-26,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-07-26,2010,"TQ0902"
"bombus lapidarius","TQ090020",2010-07-26,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-07-26,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-07-26,2010,"TQ0902"
"bombus lapidarius","TQ090020",2010-07-26,2010,"TQ0902"
"bombus pascuorum","TQ090020",2010-07-26,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-09-27,2010,"TQ0902"
"bombus terrestris","TQ090020",2010-09-27,2010,"TQ0902"
"bombus terrestris","SN504306",2010-06-20,2010,"SN5030"
"bombus pratorum","SN504306",2010-06-20,2010,"SN5030"
"bombus hortorum","SN504306",2010-06-20,2010,"SN5030"
"bombus lucorum sensu lato","SN504306",2010-06-20,2010,"SN5030"
"bombus terrestris","SN504306",2010-07-17,2010,"SN5030"
"bombus hortorum","SN504306",2010-07-17,2010,"SN5030"
"bombus lucorum sensu lato","SN504306",2010-07-17,2010,"SN5030"
"bombus terrestris","SN504306",2010-07-17,2010,"SN5030"
"bombus hortorum","SN504306",2010-07-17,2010,"SN5030"
"bombus lucorum sensu lato","SN504306",2010-07-17,2010,"SN5030"
"bombus lucorum sensu lato","SN504306",2010-07-17,2010,"SN5030"
"bombus terrestris","SN504306",2010-07-17,2010,"SN5030"
"bombus pratorum","SN504306",2010-07-17,2010,"SN5030"
"bombus hortorum","SN504306",2010-07-17,2010,"SN5030"
"bombus lucorum sensu lato","SN504306",2010-07-17,2010,"SN5030"
"bombus pascuorum","SN504306",2010-08-15,2010,"SN5030"
"bombus pascuorum","SN504306",2010-08-15,2010,"SN5030"
"bombus pascuorum","SN504306",2010-08-15,2010,"SN5030"
"bombus lucorum sensu lato","SN504306",2010-08-15,2010,"SN5030"
"bombus campestris","SN504306",2010-08-15,2010,"SN5030"
"bombus pascuorum","SN504306",2010-09-20,2010,"SN5030"
"bombus terrestris","NS707655",2010-06-22,2010,"NS7065"
"bombus terrestris","NS707655",2010-06-22,2010,"NS7065"
"bombus lapidarius","NS707655",2010-06-22,2010,"NS7065"
"bombus lapidarius","NS707655",2010-06-22,2010,"NS7065"
"bombus pascuorum","NS707655",2010-06-22,2010,"NS7065"
"bombus lucorum sensu lato","NS707655",2010-06-22,2010,"NS7065"
"apis mellifera","NS707655",2010-06-22,2010,"NS7065"
"bombus terrestris","NS707655",2010-07-31,2010,"NS7065"
"bombus terrestris","NS707655",2010-07-31,2010,"NS7065"
"bombus terrestris","NS707655",2010-07-31,2010,"NS7065"
"bombus terrestris","NS707655",2010-07-31,2010,"NS7065"
"bombus lapidarius","NS707655",2010-07-31,2010,"NS7065"
"bombus lapidarius","NS707655",2010-07-31,2010,"NS7065"
"bombus hortorum","NS707655",2010-07-31,2010,"NS7065"
"bombus pascuorum","NS707655",2010-07-31,2010,"NS7065"
"bombus lucorum sensu lato","NS707655",2010-07-31,2010,"NS7065"
"bombus lucorum sensu lato","NS707655",2010-07-31,2010,"NS7065"
"apis mellifera","NS707655",2010-07-31,2010,"NS7065"
"bombus pascuorum","NS707655",2010-07-31,2010,"NS7065"
"bombus lapidarius","NS707655",2010-07-31,2010,"NS7065"
"apis mellifera","NS707655",2010-07-31,2010,"NS7065"
"apis mellifera","NS707655",2010-07-31,2010,"NS7065"
"bombus terrestris","NS707655",2010-08-28,2010,"NS7065"
"bombus terrestris","NS707655",2010-08-28,2010,"NS7065"
"bombus hortorum","NS707655",2010-08-28,2010,"NS7065"
"bombus lapidarius","NS707655",2010-08-28,2010,"NS7065"
"bombus pascuorum","NS707655",2010-08-28,2010,"NS7065"
"apis mellifera","NS707655",2010-08-28,2010,"NS7065"
"bombus pascuorum","NS707655",2010-09-30,2010,"NS7065"
"bombus lapidarius","SU382357",2011-04-24,2011,"SU3835"
"bombus lapidarius","SU382357",2011-04-24,2011,"SU3835"
"bombus lapidarius","SU382357",2011-04-24,2011,"SU3835"
"bombus terrestris","SU382357",2011-04-24,2011,"SU3835"
"bombus lapidarius","SU382357",2011-04-24,2011,"SU3835"
"bombus campestris","SE220364",2010-06-26,2010,"SE2236"
"bombus bohemicus","SE220364",2010-06-26,2010,"SE2236"
"bombus lapidarius","SE220364",2010-07-25,2010,"SE2236"
"bombus campestris","SE220364",2010-07-25,2010,"SE2236"
"bombus hypnorum","SE220364",2010-07-25,2010,"SE2236"
"bombus rupestris","SE220364",2010-07-25,2010,"SE2236"
"bombus jonellus","SE220364",2010-07-25,2010,"SE2236"
"bombus terrestris","SE220364",2010-08-08,2010,"SE2236"
"bombus lapidarius","SE220364",2010-08-08,2010,"SE2236"
"bombus pascuorum","SE220364",2010-08-08,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-08-08,2010,"SE2236"
"bombus rupestris","SE220364",2010-08-08,2010,"SE2236"
"bombus lapidarius","SE220364",2010-07-25,2010,"SE2236"
"bombus hortorum","SE220364",2010-07-25,2010,"SE2236"
"bombus pascuorum","SE220364",2010-07-25,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-07-25,2010,"SE2236"
"bombus terrestris","SE220364",2010-08-08,2010,"SE2236"
"bombus terrestris","SE220364",2010-08-08,2010,"SE2236"
"bombus lapidarius","SE220364",2010-08-08,2010,"SE2236"
"bombus pratorum","SE220364",2010-08-08,2010,"SE2236"
"bombus hortorum","SE220364",2010-08-08,2010,"SE2236"
"bombus pascuorum","SE220364",2010-08-08,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-08-08,2010,"SE2236"
"bombus campestris","SE220364",2010-08-08,2010,"SE2236"
"bombus terrestris","SE220364",2010-06-26,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-06-26,2010,"SE2236"
"bombus hypnorum","SE220364",2010-06-26,2010,"SE2236"
"bombus terrestris","SE220364",2010-07-25,2010,"SE2236"
"bombus lapidarius","SE220364",2010-07-25,2010,"SE2236"
"bombus lapidarius","SE220364",2010-07-25,2010,"SE2236"
"bombus hortorum","SE220364",2010-07-25,2010,"SE2236"
"bombus pascuorum","SE220364",2010-07-25,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-07-25,2010,"SE2236"
"bombus terrestris","SE220364",2010-08-08,2010,"SE2236"
"bombus lapidarius","SE220364",2010-08-08,2010,"SE2236"
"bombus hypnorum","SE220364",2010-06-26,2010,"SE2236"
"bombus terrestris","SE220364",2010-06-26,2010,"SE2236"
"bombus lapidarius","SE220364",2010-06-26,2010,"SE2236"
"bombus hortorum","SE220364",2010-06-26,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-06-26,2010,"SE2236"
"bombus hypnorum","SE220364",2010-06-26,2010,"SE2236"
"bombus vestalis","SE220364",2010-06-26,2010,"SE2236"
"bombus barbutellus","SE220364",2010-06-26,2010,"SE2236"
"bombus terrestris","SE220364",2010-07-25,2010,"SE2236"
"bombus hortorum","SE220364",2010-07-25,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-07-25,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-08-08,2010,"SE2236"
"bombus terrestris","SE220364",2010-07-25,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-07-25,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-06-26,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-07-25,2010,"SE2236"
"bombus terrestris","SE220364",2010-08-08,2010,"SE2236"
"bombus lapidarius","SE220364",2010-08-08,2010,"SE2236"
"bombus pascuorum","SE220364",2010-08-08,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-08-08,2010,"SE2236"
"bombus hortorum","SE220364",2010-06-26,2010,"SE2236"
"bombus pascuorum","SE220364",2010-06-26,2010,"SE2236"
"bombus terrestris","SE220364",2010-07-25,2010,"SE2236"
"bombus lapidarius","SE220364",2010-07-25,2010,"SE2236"
"bombus pascuorum","SE220364",2010-07-25,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-07-25,2010,"SE2236"
"bombus lapidarius","SE220364",2010-08-08,2010,"SE2236"
"bombus pascuorum","SE220364",2010-08-08,2010,"SE2236"
"bombus lucorum sensu lato","SE220364",2010-08-08,2010,"SE2236"
"bombus campestris","SE220364",2010-08-08,2010,"SE2236"
"bombus lucorum sensu lato","TA044335",2011-03-21,2011,"TA0433"
"bombus terrestris","TA044335",2011-03-21,2011,"TA0433"
"bombus hortorum","TA044335",2010-07-24,2010,"TA0433"
"bombus terrestris","TA044335",2010-07-24,2010,"TA0433"
"bombus terrestris","TA044335",2010-07-24,2010,"TA0433"
"bombus terrestris","TA044335",2010-07-24,2010,"TA0433"
"bombus lapidarius","TA044335",2010-07-24,2010,"TA0433"
"bombus lapidarius","TA044335",2010-07-24,2010,"TA0433"
"bombus hortorum","TA044335",2010-07-24,2010,"TA0433"
"bombus pascuorum","TA044335",2010-07-24,2010,"TA0433"
"bombus lucorum sensu lato","TA044335",2010-07-24,2010,"TA0433"
"bombus lucorum sensu lato","TA044335",2010-07-24,2010,"TA0433"
"bombus lucorum sensu lato","TA044335",2010-07-24,2010,"TA0433"
"bombus vestalis","TA044335",2010-07-24,2010,"TA0433"
"bombus bohemicus","TA044335",2010-07-24,2010,"TA0433"
"bombus lapidarius","TA044335",2010-07-24,2010,"TA0433"
"bombus lapidarius","TA044335",2010-07-24,2010,"TA0433"
"bombus lucorum sensu lato","TA044335",2010-07-24,2010,"TA0433"
"bombus lucorum sensu lato","TA044335",2010-07-24,2010,"TA0433"
"bombus terrestris","TA044335",2010-06-02,2010,"TA0433"
"bombus pascuorum","TA044335",2010-06-02,2010,"TA0433"
"bombus pascuorum","TA044335",2010-06-02,2010,"TA0433"
"bombus lapidarius","TA044335",2010-07-24,2010,"TA0433"
"bombus lapidarius","TA044335",2010-07-24,2010,"TA0433"
"bombus lucorum sensu lato","TA044335",2010-07-24,2010,"TA0433"
"bombus terrestris","TA044335",2010-07-24,2010,"TA0433"
"bombus terrestris","TA044335",2010-08-15,2010,"TA0433"
"bombus pascuorum","TA044335",2010-08-15,2010,"TA0433"
"bombus lucorum sensu lato","TA044335",2010-08-15,2010,"TA0433"
"bombus terrestris","TA044335",2010-08-15,2010,"TA0433"
"bombus pascuorum","TA044335",2010-08-15,2010,"TA0433"
"bombus lapidarius","TA044335",2010-08-15,2010,"TA0433"
"bombus lapidarius","TA044335",2010-09-12,2010,"TA0433"
"bombus pascuorum","TA044335",2010-09-12,2010,"TA0433"
"bombus terrestris","TA044335",2010-10-11,2010,"TA0433"
"bombus terrestris","SE930380",2011-04-17,2011,"SE9338"
"bombus terrestris","SE930380",2011-04-17,2011,"SE9338"
"bombus lucorum sensu lato","SE930380",2011-04-17,2011,"SE9338"
"bombus pratorum","SE930380",2011-04-17,2011,"SE9338"
"bombus terrestris","SE930380",2011-03-25,2011,"SE9338"
"bombus lucorum sensu lato","SE930380",2011-03-25,2011,"SE9338"
"bombus lucorum sensu lato","SE930380",2011-03-25,2011,"SE9338"
"bombus pascuorum","SE930380",2011-03-25,2011,"SE9338"
"apis mellifera","SE930380",2011-03-25,2011,"SE9338"
"bombus terrestris","SE930380",2011-03-25,2011,"SE9338"
"bombus terrestris","SE930380",2011-04-25,2011,"SE9338"
"bombus lucorum sensu lato","SE930380",2011-04-25,2011,"SE9338"
"bombus lapidarius","SE930380",2011-04-25,2011,"SE9338"
"bombus terrestris","SE930380",2011-04-25,2011,"SE9338"
"bombus lapidarius","SE930380",2011-04-25,2011,"SE9338"
"bombus terrestris","SE930380",2011-05-29,2011,"SE9338"
"bombus hortorum","SE930380",2011-05-29,2011,"SE9338"
"bombus pascuorum","SE930380",2011-05-29,2011,"SE9338"
"bombus lucorum sensu lato","SE930380",2011-05-29,2011,"SE9338"
"bombus sylvestris","SE930380",2011-05-29,2011,"SE9338"
"bombus terrestris","SE930380",2011-06-20,2011,"SE9338"
"bombus lapidarius","SE930380",2011-06-20,2011,"SE9338"
"bombus pascuorum","SE930380",2011-06-20,2011,"SE9338"
"bombus terrestris","SE930380",2011-06-20,2011,"SE9338"
"bombus pratorum","SE930380",2011-06-20,2011,"SE9338"
"bombus pratorum","SE930380",2011-06-20,2011,"SE9338"
"bombus pascuorum","SE930380",2011-06-20,2011,"SE9338"
"bombus lucorum sensu lato","SE930380",2011-06-20,2011,"SE9338"
"bombus terrestris","SE930380",2011-06-20,2011,"SE9338"
"bombus terrestris","SE930380",2011-06-20,2011,"SE9338"
"bombus lapidarius","SE930380",2011-06-20,2011,"SE9338"
"bombus pratorum","SE930380",2011-06-20,2011,"SE9338"
"bombus pascuorum","SE930380",2011-06-20,2011,"SE9338"
"bombus terrestris","SE930380",2011-06-20,2011,"SE9338"
"bombus lapidarius","SE930380",2011-06-20,2011,"SE9338"
"bombus pratorum","SE930380",2011-06-20,2011,"SE9338"
"bombus hortorum","SE930380",2011-06-20,2011,"SE9338"
"bombus pascuorum","SE930380",2011-06-20,2011,"SE9338"
"bombus lucorum sensu lato","SE930380",2011-06-20,2011,"SE9338"
"apis mellifera","SE930380",2011-06-20,2011,"SE9338"
"bombus vestalis","SE930380",2011-06-20,2011,"SE9338"
"bombus bohemicus","SE930380",2011-06-20,2011,"SE9338"
"bombus lucorum sensu lato","TA044335",2011-04-19,2011,"TA0433"
"bombus pascuorum","TA044335",2011-04-19,2011,"TA0433"
"bombus terrestris","TA044335",2011-04-20,2011,"TA0433"
"bombus pratorum","TA044335",2011-05-25,2011,"TA0433"
"bombus pascuorum","TA044335",2011-06-26,2011,"TA0433"
"bombus lucorum sensu lato","TA044335",2011-06-26,2011,"TA0433"
"bombus lapidarius","TA044335",2011-06-26,2011,"TA0433"
"bombus pascuorum","TA044335",2011-06-26,2011,"TA0433"
"bombus lucorum sensu lato","TA044335",2011-06-26,2011,"TA0433"
